SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,15.0,17.0,4.0,11.0,15.0,12.0,11.0,11.0,6.0,9.0
Bus Stops Damage,9.0,4.0,9.0,9.0,3.0,6.0,3.0,6.0,6.0,2.0
Dog Fouling,11.0,29.0,29.0,17.0,21.0,21.0,30.0,5.0,22.0,10.0
Open Spaces/Parks,24.0,22.0,15.0,23.0,14.0,18.0,21.0,16.0,12.0,10.0
Other,78.0,65.0,38.0,59.0,65.0,48.0,46.0,46.0,35.0,49.0
Parking,49.0,41.0,31.0,37.0,24.0,34.0,38.0,26.0,20.0,15.0
Pavement /Footway Defects,59.0,73.0,42.0,40.0,61.0,70.0,73.0,48.0,60.0,71.0
Public Toilets,2.0,,,,,1.0,1.0,,5.0,
Road Safety,34.0,29.0,5.0,24.0,26.0,24.0,34.0,11.0,19.0,18.0
Road Surface Defects,109.0,121.0,93.0,146.0,181.0,167.0,183.0,157.0,181.0,187.0
Rubbish,659.0,388.0,228.0,246.0,160.0,177.0,169.0,100.0,105.0,64.0
Street Furniture,3.0,2.0,5.0,4.0,2.0,7.0,4.0,2.0,1.0,2.0
Street Lights,90.0,99.0,47.0,97.0,144.0,133.0,112.0,120.0,74.0,183.0
