SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Abandoned Vehicles,77.0,43.0,33.0,30.0,20.0,36.0,100.0,341.0,643.0,1079.0,1162.0,1183.0,1184.0,1094.0,1151.0,1072.0,995.0,838.0,694.0,614.0,502.0,403.0,292.0,190.0
Accumulated Litter,4.0,1.0,3.0,,3.0,2.0,28.0,30.0,86.0,196.0,150.0,182.0,173.0,156.0,157.0,137.0,92.0,78.0,49.0,29.0,29.0,19.0,27.0,10.0
Barriers/Bollards on RoW,2.0,2.0,1.0,1.0,2.0,,,4.0,11.0,18.0,28.0,44.0,35.0,23.0,25.0,33.0,27.0,14.0,9.0,13.0,8.0,3.0,2.0,1.0
Benches/Bicycle Racks,,,,,,,,1.0,,5.0,3.0,5.0,3.0,2.0,5.0,6.0,2.0,3.0,2.0,2.0,1.0,,1.0,
Bin Collection,,,,,,,,1.0,1.0,2.0,,1.0,1.0,7.0,2.0,,,2.0,,1.0,2.0,2.0,,
Bin Repair/Replacement,3.0,1.0,2.0,,,3.0,2.0,18.0,33.0,51.0,64.0,54.0,56.0,57.0,46.0,37.0,38.0,26.0,23.0,15.0,9.0,8.0,6.0,6.0
Blocked Drains,58.0,19.0,19.0,11.0,11.0,20.0,81.0,214.0,548.0,1144.0,1265.0,1291.0,1167.0,1078.0,1194.0,1126.0,988.0,652.0,516.0,430.0,341.0,327.0,214.0,97.0
Bridge/Culvert Defects,8.0,2.0,,2.0,,4.0,7.0,22.0,47.0,103.0,139.0,141.0,125.0,100.0,124.0,128.0,108.0,69.0,61.0,42.0,44.0,38.0,19.0,12.0
Broken Kerbs,7.0,2.0,,1.0,1.0,2.0,10.0,12.0,37.0,75.0,86.0,104.0,92.0,72.0,79.0,67.0,92.0,55.0,39.0,48.0,54.0,22.0,31.0,8.0
Bus Stops Damage,11.0,12.0,19.0,1.0,8.0,13.0,15.0,39.0,62.0,70.0,75.0,97.0,91.0,64.0,77.0,61.0,77.0,58.0,43.0,47.0,44.0,46.0,22.0,33.0
Countryside RoW,,,,,,,,,,,,,,,,,,,,1.0,,,,
Dead Animals,21.0,14.0,3.0,6.0,1.0,12.0,52.0,100.0,177.0,230.0,199.0,158.0,136.0,118.0,125.0,94.0,96.0,57.0,51.0,54.0,40.0,48.0,29.0,18.0
Debris/Spillage,6.0,,1.0,3.0,1.0,5.0,9.0,20.0,37.0,68.0,70.0,85.0,68.0,58.0,63.0,66.0,47.0,35.0,29.0,19.0,13.0,12.0,14.0,13.0
Demo,,,,,,,,1.0,,,2.0,,3.0,1.0,3.0,3.0,2.0,,1.0,1.0,,1.0,,1.0
Discarded Syringes,,,,,,,,,2.0,,3.0,,2.0,1.0,,2.0,1.0,2.0,1.0,1.0,,1.0,,
Dog Fouling,22.0,15.0,9.0,3.0,2.0,11.0,23.0,100.0,299.0,389.0,312.0,327.0,293.0,289.0,315.0,274.0,230.0,162.0,134.0,124.0,122.0,75.0,74.0,55.0
