SHEF_A,No Photo,Photo
Abandoned Vehicles,6981.0,6795.0
Accumulated Litter,1090.0,551.0
Barriers/Bollards on RoW,175.0,131.0
Benches/Bicycle Racks,18.0,23.0
Bin Collection,17.0,5.0
Bin Repair/Replacement,353.0,205.0
Blocked Drains,8643.0,4168.0
Bridge/Culvert Defects,975.0,370.0
Broken Kerbs,661.0,335.0
Bus Stops Damage,555.0,530.0
Countryside RoW,1.0,
Dead Animals,1573.0,266.0
Debris/Spillage,590.0,152.0
Demo,6.0,13.0
Discarded Syringes,14.0,2.0
Dog Fouling,2381.0,1278.0
Dog Litter Bin,123.0,18.0
Environmental Health,49.0,16.0
Fallen/Dangerous Trees,8618.0,4624.0
Fences,79.0,29.0
Flooding,3273.0,961.0
Fly-tipping,33672.0,59229.0
Flyposting,450.0,555.0
Garden Waste,119.0,157.0
Gates/Stiles RoW,160.0,90.0
General Highways Enquiries,963.0,501.0
Graffiti,3073.0,7591.0
Grass/Weed Control,3180.0,1139.0
Grids and Drains,102.0,62.0
Grit Bins,170.0,23.0
Gritting,8.0,2.0
Grounds Maintenance,3.0,2.0
Gullies,2858.0,592.0
Gully/Manhole Defects,383.0,276.0
Highway Condition,10570.0,6611.0
Highway Drainage,42.0,12.0
Ice & Snow,74.0,6.0
Leafing,172.0,199.0
Lewisham Homes,32.0,150.0
Litter/Litter Bin,3299.0,3094.0
Manhole Covers,2056.0,820.0
Manhole Defects,56.0,37.0
Missed Bin Collection,253.0,268.0
Noise,7.0,1.0
Obstruction,4532.0,2120.0
Open Spaces/Parks,3497.0,4045.0
Other,15203.0,8277.0
Overgrown Vegetation,11230.0,3501.0
Parking,4926.0,5386.0
Pavement /Footway Defects,15987.0,13586.0
Pest Control,1.0,
Phoenix HA,4.0,27.0
Potholes,64507.0,17934.0
Property Damage,1.0,2.0
Protected Trees,,2.0
Public Toilets,98.0,31.0
Recycling,69.0,54.0
Retaining Wall,34.0,43.0
Right of Way,1322.0,1169.0
Road Markings,3775.0,1446.0
Road Safety,139.0,28.0
Road Surface Defects,15030.0,5934.0
Road Works,2039.0,343.0
Road/Pavement Defects,683.0,71.0
Rubbish,4314.0,5750.0
Salt Bins,17.0,3.0
Shopping Trolley,86.0,135.0
Skips,5.0,3.0
Spillage on Road,338.0,49.0
Street Cleaning,11672.0,9621.0
Street Furniture,1311.0,377.0
Street Lights,32749.0,8653.0
Street Name Plates,1125.0,670.0
Street Signs,8269.0,4421.0
Trade Waste,13.0,64.0
Traffic Lights,3109.0,506.0
Trees and Hedges RoW,631.0,472.0
Trees on RoW,147.0,91.0
Trip Hazard,712.0,445.0
Utility Works,836.0,147.0
Vehicle Access,13.0,6.0
Verge Damage,352.0,190.0
Zebra Crossing,41.0,
