SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,16.0,19.0,19.0,13.0,31.0,18.0,37.0,21.0,13.0,34.0
Bus Stops Damage,,1.0,5.0,5.0,4.0,3.0,10.0,1.0,9.0,10.0
Dog Fouling,11.0,20.0,13.0,9.0,23.0,9.0,21.0,23.0,70.0,30.0
Fallen/Dangerous Trees,21.0,17.0,14.0,15.0,18.0,11.0,14.0,15.0,8.0,14.0
Fly-tipping,225.0,238.0,52.0,57.0,94.0,76.0,101.0,75.0,125.0,224.0
Flyposting,,1.0,,,,,1.0,,1.0,1.0
Graffiti,5.0,11.0,3.0,7.0,8.0,12.0,38.0,20.0,27.0,36.0
Highway Condition,187.0,120.0,102.0,80.0,114.0,81.0,89.0,82.0,86.0,95.0
Open Spaces/Parks,12.0,15.0,21.0,27.0,21.0,27.0,16.0,20.0,16.0,22.0
Other,81.0,66.0,47.0,87.0,65.0,56.0,70.0,48.0,79.0,91.0
Parking,20.0,15.0,31.0,22.0,25.0,23.0,28.0,40.0,50.0,53.0
Pavement /Footway Defects,64.0,69.0,54.0,73.0,90.0,64.0,78.0,68.0,77.0,96.0
Potholes,946.0,543.0,328.0,244.0,342.0,281.0,414.0,289.0,363.0,303.0
Public Toilets,,,1.0,,1.0,2.0,,,,3.0
Rubbish,32.0,26.0,23.0,31.0,67.0,36.0,57.0,49.0,82.0,158.0
Street Cleaning,11.0,21.0,17.0,29.0,22.0,17.0,32.0,29.0,30.0,45.0
Street Lights,70.0,123.0,98.0,110.0,123.0,99.0,122.0,134.0,142.0,153.0
Street Name Plates,2.0,1.0,4.0,7.0,1.0,1.0,3.0,3.0,2.0,3.0
Street Signs,23.0,24.0,18.0,14.0,9.0,14.0,14.0,15.0,12.0,13.0
Traffic Lights,12.0,18.0,21.0,32.0,17.0,24.0,26.0,43.0,16.0,15.0
