SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,20.0,22.0,41.0,30.0,19.0,22.0,13.0,17.0,24.0,13.0
Bus Stops Damage,1.0,12.0,3.0,4.0,5.0,3.0,8.0,5.0,1.0,6.0
Dog Fouling,32.0,66.0,16.0,19.0,19.0,15.0,7.0,21.0,13.0,21.0
Fallen/Dangerous Trees,15.0,9.0,11.0,16.0,16.0,12.0,13.0,15.0,23.0,17.0
Fly-tipping,188.0,148.0,102.0,227.0,91.0,109.0,76.0,159.0,75.0,92.0
Flyposting,,2.0,1.0,1.0,,,,,,
Graffiti,9.0,11.0,15.0,9.0,12.0,10.0,18.0,21.0,33.0,29.0
Highway Condition,111.0,62.0,44.0,72.0,77.0,98.0,120.0,135.0,148.0,169.0
Open Spaces/Parks,31.0,12.0,29.0,25.0,15.0,20.0,11.0,19.0,15.0,20.0
Other,69.0,63.0,64.0,54.0,60.0,67.0,73.0,72.0,79.0,89.0
Parking,34.0,49.0,32.0,37.0,22.0,31.0,23.0,26.0,37.0,16.0
Pavement /Footway Defects,71.0,76.0,56.0,73.0,66.0,76.0,71.0,66.0,106.0,72.0
Potholes,389.0,309.0,213.0,285.0,250.0,357.0,508.0,500.0,552.0,689.0
Public Toilets,,,,2.0,,1.0,,3.0,1.0,
Rubbish,80.0,56.0,46.0,60.0,68.0,30.0,48.0,73.0,57.0,43.0
Street Cleaning,34.0,34.0,26.0,30.0,24.0,21.0,13.0,26.0,13.0,32.0
Street Lights,151.0,106.0,90.0,114.0,103.0,104.0,104.0,141.0,109.0,152.0
Street Name Plates,1.0,2.0,3.0,1.0,3.0,6.0,2.0,2.0,4.0,3.0
Street Signs,9.0,14.0,13.0,8.0,6.0,15.0,21.0,20.0,21.0,29.0
Traffic Lights,23.0,18.0,22.0,15.0,15.0,12.0,53.0,15.0,21.0,30.0
