SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,15.0,32.0,37.0,24.0,26.0,17.0,17.0,16.0,20.0,17.0
Bus Stops Damage,1.0,8.0,9.0,3.0,4.0,2.0,3.0,5.0,10.0,3.0
Dog Fouling,26.0,61.0,19.0,17.0,26.0,23.0,17.0,9.0,13.0,18.0
Fallen/Dangerous Trees,11.0,10.0,15.0,15.0,14.0,12.0,24.0,16.0,11.0,19.0
Fly-tipping,191.0,75.0,104.0,176.0,208.0,103.0,110.0,162.0,84.0,54.0
Flyposting,1.0,1.0,1.0,,1.0,,,,,
Graffiti,7.0,9.0,10.0,13.0,9.0,20.0,16.0,30.0,27.0,26.0
Highway Condition,89.0,62.0,63.0,76.0,68.0,106.0,127.0,159.0,118.0,168.0
Open Spaces/Parks,26.0,13.0,23.0,22.0,24.0,21.0,15.0,13.0,17.0,23.0
Other,59.0,68.0,53.0,68.0,55.0,64.0,81.0,81.0,86.0,75.0
Parking,32.0,36.0,48.0,35.0,30.0,22.0,31.0,32.0,28.0,13.0
Pavement /Footway Defects,63.0,59.0,84.0,61.0,64.0,68.0,104.0,79.0,70.0,81.0
Potholes,320.0,302.0,213.0,288.0,293.0,402.0,635.0,585.0,435.0,580.0
Public Toilets,,,,2.0,,1.0,2.0,,1.0,1.0
Rubbish,75.0,51.0,59.0,62.0,68.0,31.0,53.0,86.0,46.0,30.0
Street Cleaning,27.0,30.0,29.0,42.0,19.0,23.0,17.0,22.0,28.0,16.0
Street Lights,146.0,98.0,102.0,105.0,109.0,107.0,121.0,131.0,119.0,136.0
Street Name Plates,2.0,1.0,2.0,4.0,2.0,5.0,3.0,1.0,4.0,3.0
Street Signs,11.0,8.0,7.0,12.0,12.0,14.0,21.0,27.0,21.0,23.0
Traffic Lights,19.0,13.0,13.0,32.0,12.0,17.0,34.0,46.0,7.0,31.0
