SHEF_A,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,13.0,24.0,18.0,11.0,12.0,12.0,11.0,9.0,9.0,9.0
Bus Stops Damage,2.0,3.0,1.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0
Dog Fouling,18.0,19.0,12.0,18.0,15.0,9.0,13.0,24.0,34.0,19.0
Fallen/Dangerous Trees,19.0,28.0,27.0,27.0,25.0,29.0,27.0,39.0,35.0,59.0
Fly-tipping,213.0,120.0,113.0,219.0,172.0,87.0,114.0,179.0,137.0,109.0
Flyposting,4.0,7.0,2.0,5.0,10.0,,3.0,8.0,4.0,2.0
Graffiti,15.0,4.0,3.0,2.0,2.0,10.0,7.0,3.0,3.0,8.0
Highway Condition,119.0,130.0,59.0,85.0,81.0,108.0,56.0,116.0,133.0,96.0
Open Spaces/Parks,11.0,22.0,13.0,12.0,16.0,18.0,18.0,18.0,20.0,34.0
Other,68.0,77.0,57.0,64.0,75.0,62.0,77.0,56.0,78.0,71.0
Parking,39.0,32.0,35.0,46.0,42.0,37.0,22.0,45.0,53.0,35.0
Pavement /Footway Defects,56.0,66.0,52.0,74.0,67.0,88.0,55.0,89.0,116.0,132.0
Potholes,165.0,220.0,190.0,212.0,235.0,191.0,169.0,265.0,232.0,247.0
Public Toilets,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0
Rubbish,87.0,30.0,41.0,27.0,60.0,22.0,28.0,31.0,40.0,38.0
Street Cleaning,51.0,25.0,20.0,29.0,30.0,31.0,18.0,27.0,24.0,39.0
Street Lights,54.0,83.0,55.0,86.0,94.0,113.0,69.0,138.0,155.0,170.0
Street Name Plates,3.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,9.0,2.0
Street Signs,11.0,23.0,2.0,11.0,11.0,13.0,10.0,21.0,20.0,21.0
Traffic Lights,11.0,8.0,7.0,4.0,11.0,2.0,3.0,4.0,7.0,4.0
