SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,714.0,1515.0,1535.0,1667.0,1529.0,1430.0,1297.0,1422.0,1452.0,1214.0
Bridge/Culvert Defects,28.0,52.0,68.0,113.0,131.0,178.0,180.0,236.0,196.0,163.0
Bus Stops Damage,105.0,115.0,126.0,113.0,92.0,108.0,110.0,100.0,112.0,104.0
Dangerous Building/Structure,4.0,7.0,13.0,7.0,5.0,13.0,16.0,15.0,13.0,23.0
Dog Fouling,233.0,408.0,420.0,494.0,427.0,406.0,304.0,442.0,241.0,277.0
Environmental Health,23.0,128.0,170.0,280.0,289.0,214.0,264.0,188.0,225.0,124.0
Fences,1.0,9.0,16.0,16.0,25.0,11.0,12.0,5.0,11.0,2.0
Gritting,10.0,14.0,15.0,46.0,24.0,24.0,42.0,47.0,40.0,41.0
Grounds Maintenance,71.0,182.0,234.0,382.0,267.0,306.0,311.0,273.0,244.0,194.0
Open Spaces/Parks,442.0,868.0,681.0,760.0,735.0,553.0,827.0,813.0,991.0,872.0
Other,1857.0,2121.0,2166.0,2598.0,2562.0,2566.0,2990.0,2776.0,2621.0,2451.0
Parking,905.0,1105.0,1149.0,1016.0,1061.0,969.0,899.0,1269.0,981.0,958.0
Pavement /Footway Defects,1259.0,1456.0,1549.0,1635.0,1715.0,1832.0,1842.0,2377.0,2161.0,2643.0
Property Damage,,,,,1.0,,1.0,,1.0,
Public Toilets,5.0,9.0,11.0,10.0,23.0,7.0,20.0,22.0,10.0,12.0
Retaining Wall,10.0,10.0,7.0,8.0,3.0,7.0,10.0,8.0,12.0,2.0
Right of Way,599.0,1084.0,1624.0,1904.0,1802.0,1628.0,2214.0,2155.0,1879.0,1324.0
Road Safety,786.0,1242.0,1502.0,2126.0,1825.0,2526.0,2565.0,3296.0,2918.0,2946.0
Road Surface Defects,3517.0,5109.0,6861.0,8226.0,9506.0,12112.0,14347.0,17030.0,16310.0,16800.0
Rubbish,11124.0,13229.0,15106.0,16485.0,16490.0,14414.0,10978.0,10422.0,7933.0,6775.0
Street Furniture,240.0,1360.0,1416.0,1789.0,2165.0,1607.0,2039.0,2775.0,2386.0,1869.0
Street Lights,2066.0,2777.0,2933.0,3297.0,3704.0,3898.0,4499.0,5388.0,5705.0,7131.0
Utility Works,43.0,77.0,167.0,171.0,149.0,131.0,104.0,63.0,44.0,34.0
