SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,1087.0,1590.0,1570.0,1728.0,1713.0,1417.0,1360.0,1334.0,936.0,682.0
Bin Replacement,42.0,65.0,69.0,72.0,102.0,88.0,102.0,90.0,32.0,37.0
Bridge/Culvert Defects,44.0,54.0,42.0,73.0,74.0,98.0,109.0,176.0,243.0,432.0
Bus Stops Damage,110.0,132.0,123.0,126.0,117.0,88.0,103.0,105.0,46.0,60.0
Dangerous Building/Structure,6.0,12.0,7.0,7.0,5.0,13.0,7.0,20.0,17.0,22.0
Dog Fouling,262.0,376.0,452.0,373.0,367.0,356.0,329.0,257.0,247.0,214.0
Drainage,1251.0,1397.0,1551.0,1675.0,1987.0,2034.0,2486.0,3362.0,3721.0,4870.0
Environmental Health,79.0,172.0,263.0,221.0,198.0,167.0,256.0,273.0,179.0,97.0
Fences,2.0,7.0,11.0,15.0,7.0,14.0,17.0,17.0,13.0,5.0
Gritting,18.0,23.0,25.0,18.0,17.0,26.0,22.0,29.0,45.0,80.0
Grounds Maintenance,152.0,139.0,213.0,170.0,282.0,166.0,275.0,350.0,304.0,413.0
Highways Enquiries,1239.0,1487.0,1503.0,1611.0,1731.0,1711.0,1625.0,1716.0,1845.0,2001.0
Incivilities,1342.0,1395.0,1495.0,1416.0,1852.0,1324.0,1020.0,849.0,532.0,374.0
Open Spaces/Parks,695.0,977.0,867.0,840.0,781.0,751.0,752.0,642.0,438.0,418.0
Other,2248.0,2397.0,2353.0,2452.0,2369.0,2153.0,2501.0,2401.0,2176.0,2266.0
Overgrown/Fallen Veg/Trees,1314.0,1913.0,2427.0,2535.0,2881.0,2938.0,3672.0,4305.0,4361.0,5127.0
Parking,1020.0,1160.0,1046.0,1133.0,1066.0,921.0,1069.0,887.0,748.0,561.0
Pavement /Footway Defects,1681.0,1608.0,1620.0,1553.0,1849.0,1884.0,1649.0,1645.0,1671.0,1764.0
Property Damage,,,,,,1.0,1.0,,,1.0
Public Toilets,13.0,7.0,26.0,13.0,11.0,11.0,6.0,12.0,6.0,8.0
Retaining Wall,18.0,18.0,13.0,10.0,7.0,2.0,2.0,2.0,3.0,2.0
Right of Way,1442.0,1477.0,1560.0,1984.0,1494.0,1548.0,1701.0,1766.0,1592.0,1649.0
Road Safety,1514.0,1627.0,1611.0,1708.0,2146.0,2022.0,2182.0,2502.0,2724.0,3103.0
Road Surface Defects,4448.0,5960.0,6497.0,7606.0,8487.0,9265.0,11446.0,13507.0,15802.0,20553.0
Rubbish,13145.0,17363.0,19880.0,15210.0,15938.0,9848.0,9478.0,7354.0,5217.0,5194.0
Street Furniture,1278.0,2213.0,1837.0,2258.0,2359.0,1674.0,1869.0,1826.0,1348.0,922.0
Street Lights,2775.0,3272.0,3190.0,3194.0,3710.0,3447.0,3775.0,4216.0,4398.0,7134.0
Utility Works,103.0,78.0,120.0,111.0,128.0,80.0,109.0,137.0,74.0,43.0
