SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,855.0,1551.0,1617.0,1789.0,1579.0,1289.0,1169.0,1196.0,1138.0,1234.0
Bridge/Culvert Defects,19.0,32.0,80.0,119.0,81.0,181.0,220.0,178.0,229.0,206.0
Bus Stops Damage,87.0,117.0,128.0,105.0,98.0,124.0,101.0,84.0,72.0,94.0
Dangerous Building/Structure,2.0,11.0,11.0,8.0,6.0,11.0,5.0,15.0,21.0,26.0
Dog Fouling,209.0,376.0,405.0,511.0,312.0,361.0,304.0,325.0,198.0,232.0
Environmental Health,33.0,169.0,207.0,195.0,274.0,283.0,244.0,172.0,198.0,130.0
Fences,,15.0,13.0,19.0,19.0,14.0,8.0,9.0,7.0,4.0
Gritting,8.0,9.0,14.0,37.0,30.0,36.0,35.0,39.0,41.0,54.0
Grounds Maintenance,69.0,194.0,259.0,301.0,215.0,370.0,316.0,277.0,250.0,213.0
Open Spaces/Parks,508.0,809.0,705.0,872.0,568.0,727.0,565.0,764.0,851.0,792.0
Other,1666.0,2055.0,2230.0,2409.0,2481.0,2666.0,2282.0,2508.0,2510.0,2509.0
Parking,862.0,975.0,1111.0,1144.0,951.0,906.0,911.0,1062.0,817.0,872.0
Pavement /Footway Defects,1041.0,1295.0,1483.0,1562.0,1581.0,1641.0,1824.0,1864.0,1963.0,2670.0
Property Damage,,,,,2.0,,,,1.0,
Public Toilets,6.0,7.0,7.0,26.0,8.0,9.0,15.0,14.0,7.0,14.0
Retaining Wall,10.0,3.0,11.0,11.0,5.0,4.0,10.0,7.0,7.0,9.0
Right of Way,514.0,1238.0,1870.0,1755.0,1932.0,1771.0,1700.0,1861.0,2193.0,1379.0
Road Safety,689.0,1105.0,1740.0,1877.0,2015.0,2129.0,2608.0,2596.0,2958.0,3422.0
Road Surface Defects,2712.0,4140.0,7188.0,7956.0,8541.0,11061.0,13086.0,14884.0,16627.0,17376.0
Rubbish,10935.0,15093.0,14047.0,17262.0,14363.0,10824.0,10038.0,8504.0,7857.0,9704.0
Street Furniture,838.0,1185.0,1767.0,2069.0,2110.0,1538.0,1774.0,2491.0,1881.0,1931.0
Street Lights,1689.0,2487.0,3200.0,3727.0,3953.0,3928.0,4622.0,4380.0,4889.0,6236.0
Utility Works,34.0,110.0,176.0,118.0,150.0,127.0,131.0,55.0,46.0,36.0
