SHEF_B,A1,B1,C1,C2,D1,D2,E1,E2
Abandoned Vehicles,7111.0,151.0,4800.0,9.0,746.0,14.0,698.0,16.0
Bridge/Culvert Defects,19.0,1.0,496.0,4.0,255.0,2.0,550.0,18.0
Bus Stops Damage,407.0,73.0,454.0,2.0,58.0,1.0,41.0,1.0
Dangerous Building/Structure,15.0,,67.0,,6.0,,28.0,
Dog Fouling,1186.0,146.0,1667.0,21.0,232.0,4.0,148.0,10.0
Environmental Health,1077.0,1.0,478.0,,116.0,,233.0,
Fences,50.0,,37.0,,9.0,,11.0,1.0
Gritting,3.0,,151.0,,37.0,,107.0,5.0
Grounds Maintenance,312.0,2.0,1311.0,,401.0,2.0,428.0,8.0
Open Spaces/Parks,4330.0,203.0,2254.0,7.0,274.0,7.0,253.0,15.0
Other,7376.0,560.0,10839.0,31.0,2327.0,38.0,2729.0,101.0
Parking,3985.0,468.0,4372.0,22.0,667.0,28.0,432.0,23.0
Pavement /Footway Defects,5211.0,676.0,8855.0,19.0,1528.0,45.0,1321.0,64.0
Property Damage,,,1.0,,1.0,,1.0,
Public Toilets,27.0,19.0,58.0,,9.0,2.0,7.0,
Retaining Wall,,,72.0,,2.0,,3.0,
Right of Way,6478.0,,5800.0,24.0,1364.0,17.0,2432.0,98.0
Road Safety,3685.0,243.0,10580.0,35.0,2801.0,32.0,3861.0,106.0
Road Surface Defects,15344.0,858.0,44959.0,168.0,16017.0,205.0,26681.0,1465.0
Rubbish,71660.0,4215.0,28587.0,47.0,5523.0,56.0,10528.0,172.0
Street Furniture,12847.0,39.0,3420.0,5.0,403.0,2.0,895.0,5.0
Street Lights,8793.0,347.0,23418.0,159.0,4496.0,94.0,2724.0,97.0
Utility Works,156.0,,655.0,,102.0,,70.0,
