SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,14.0,26.0,14.0,17.0,14.0,11.0,8.0,7.0,13.0,4.0
Bus Stops Damage,4.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0
Dog Fouling,13.0,20.0,22.0,14.0,22.0,21.0,19.0,13.0,21.0,16.0
Open Spaces/Parks,4.0,16.0,26.0,11.0,15.0,13.0,28.0,17.0,21.0,29.0
Other,53.0,68.0,69.0,74.0,66.0,71.0,88.0,54.0,73.0,67.0
Parking,25.0,39.0,48.0,37.0,36.0,41.0,46.0,36.0,40.0,38.0
Pavement /Footway Defects,37.0,64.0,83.0,83.0,91.0,71.0,121.0,63.0,83.0,99.0
Public Toilets,,1.0,,1.0,1.0,2.0,2.0,,,2.0
Road Safety,10.0,22.0,12.0,19.0,20.0,14.0,28.0,21.0,30.0,28.0
Road Surface Defects,84.0,160.0,172.0,198.0,217.0,177.0,236.0,228.0,295.0,354.0
Rubbish,378.0,349.0,223.0,224.0,193.0,138.0,156.0,143.0,163.0,194.0
Street Furniture,2.0,4.0,3.0,4.0,3.0,3.0,6.0,3.0,2.0,2.0
Street Lights,71.0,73.0,88.0,110.0,93.0,107.0,158.0,74.0,131.0,111.0
