authority_type,Bad,Poor,Fair,Good,Excellent,Don’t want to answer,Don’t know/can't say
Central Government,1.0,23.0,194.0,462.0,719.0,1.0,1.0
Local and regional,6.0,63.0,441.0,1069.0,1363.0,8.0,6.0
Education,,6.0,43.0,194.0,364.0,3.0,2.0
Environment,,10.0,15.0,50.0,37.0,1.0,
Health,2.0,6.0,79.0,209.0,240.0,,
Media and Culture,,3.0,7.0,30.0,47.0,,
Military and Security Services,1.0,7.0,57.0,121.0,127.0,1.0,
Emergency services and the courts,1.0,5.0,29.0,98.0,162.0,1.0,
Transport,1.0,8.0,45.0,135.0,219.0,,1.0
Don’t want to answer,,2.0,7.0,14.0,14.0,9.0,1.0
Other,1.0,17.0,79.0,200.0,261.0,2.0,1.0
