authority_type,strongly disagree,disagree,agree,strongly agree,don't want to answer
Central Government,66.0,78.0,632.0,643.0,19.0
Local and regional,132.0,141.0,1281.0,1429.0,31.0
Education,27.0,29.0,263.0,304.0,8.0
Environment,5.0,3.0,50.0,55.0,3.0
Health,24.0,29.0,237.0,244.0,10.0
Media and Culture,2.0,5.0,42.0,37.0,1.0
Military and Security Services,13.0,21.0,158.0,124.0,5.0
Emergency services and the courts,12.0,11.0,121.0,157.0,4.0
Transport,17.0,25.0,191.0,177.0,8.0
Don’t want to answer,5.0,1.0,26.0,9.0,8.0
Other,37.0,42.0,275.0,207.0,17.0
