authority_type,From another mySociety site,"From media such as newspapers, etc",From a search engine ,Recommendation by friends or colleagues,From a campaigning website,Other,Don’t want to answer,Can't remember
Central Government,56.0,26.0,731.0,246.0,109.0,60.0,9.0,196.0
Local and regional,87.0,87.0,1230.0,854.0,146.0,178.0,10.0,408.0
Education,11.0,16.0,327.0,162.0,13.0,35.0,1.0,65.0
Environment,2.0,2.0,68.0,24.0,3.0,5.0,1.0,11.0
Health,13.0,12.0,223.0,159.0,34.0,24.0,3.0,74.0
Media and Culture,1.0,3.0,46.0,11.0,6.0,5.0,2.0,13.0
Military and Security Services,11.0,8.0,169.0,77.0,4.0,19.0,,33.0
Emergency services and the courts,6.0,5.0,149.0,71.0,14.0,15.0,,45.0
Transport,14.0,6.0,269.0,52.0,16.0,18.0,,42.0
Don’t want to answer,1.0,1.0,23.0,7.0,1.0,3.0,7.0,6.0
Other,12.0,9.0,292.0,112.0,24.0,39.0,6.0,82.0
