authority_type,This is the first time in the last 12 months,About once within the last 12 months,2 - 5 times within the last 12 months,6 - 10 times within the last 12 months,More than 10 times within the last 12 months,Don’t want to answer
Central Government,1013.0,67.0,234.0,42.0,42.0,6.0
Local and regional,1993.0,147.0,565.0,124.0,112.0,13.0
Education,440.0,38.0,86.0,22.0,27.0,4.0
Environment,93.0,10.0,9.0,1.0,,
Health,347.0,29.0,112.0,24.0,22.0,3.0
Media and Culture,57.0,6.0,16.0,1.0,4.0,1.0
Military and Security Services,253.0,13.0,35.0,7.0,6.0,2.0
Emergency services and the courts,195.0,14.0,65.0,11.0,12.0,1.0
Transport,330.0,16.0,50.0,9.0,5.0,1.0
Don’t want to answer,29.0,2.0,7.0,,1.0,9.0
Other,436.0,28.0,63.0,16.0,13.0,7.0
