year,1,2,3,4,5,6,7,8,9,10
2007,5603,6333,6941,7401,7900,8240,8646,9101,9306,10329
2008,6425,6936,7582,8014,8468,8517,9043,9554,9814,10361
2009,7610,8564,9757,10478,11192,11474,11908,12748,13084,14316
2010,5878,6828,8001,8609,9079,9326,9932,10413,10730,11722
2011,6018,7214,8210,8652,9185,10006,10339,10833,11080,11468
2012,5574,6315,7134,7676,8293,8731,8806,9230,9374,9865
2013,5874,6652,7649,8384,8915,9575,9335,9630,9948,10574
2014,3945,4550,5143,5531,5803,6050,5920,6243,6159,6380
2015,4442,5309,6202,6823,7533,7541,7588,8000,8112,8351
2016,4808,6216,7702,8925,9713,9817,10312,10533,10584,11593
2017,3746,4882,6068,6723,7383,7467,7816,8113,8485,9112
2018,3330,3994,4703,5263,5438,5741,5894,6464,6767,6879
2019,3934,4457,5400,6245,6894,7071,7629,8032,8606,8859
2020,7795,10178,12261,14140,15659,16070,16936,17717,18649,20864
