year,1,2,3,4,5,6,7,8,9,10
2007,8425,8701,9156,9020,8007,7581,7468,7083,7253,7106
2008,9089,9348,9432,9506,8560,7843,7680,7540,7889,7827
2009,12304,12275,12621,12337,11275,10622,10158,10004,9894,9641
2010,9922,10011,10327,10312,8931,8522,8342,8230,8184,7737
2011,10547,10124,10367,9858,9261,8714,8688,8619,8632,8195
2012,9292,8898,9391,8853,8105,7630,7260,7386,7174,7009
2013,9518,9189,9604,9330,8297,8155,8160,8438,7858,7987
2014,6111,6251,6193,6000,5511,5346,5162,5215,4972,4963
2015,7670,7647,7964,7492,6953,6604,6544,6481,6323,6223
2016,10315,9936,10341,10146,9019,8364,8192,8070,8024,7796
2017,8317,8158,8006,7758,7059,6488,6310,5991,6142,5566
2018,6362,6056,6017,5777,5506,5247,5059,4918,4896,4635
2019,7802,7110,7248,7185,6582,6412,6359,6283,6302,5844
2020,17128,16665,16867,16125,15110,13974,13572,14037,13477,13314
