year,1,2,3,4,5,6,7,8,9,10
2007,9188,9677,9079,8134,7743,7504,7237,6917,7123,7198
2008,10009,10359,9324,8750,8543,7914,7689,7371,7194,7561
2009,12923,13260,12219,11605,10819,10222,10094,9772,9970,10247
2010,11179,10964,10438,9512,8734,8219,8080,7703,7890,7799
2011,10443,10277,9899,9197,9106,8451,8915,8522,8860,9335
2012,9356,9924,9022,8253,7875,7238,7357,7226,7438,7309
2013,10197,10094,9558,8763,8479,7834,7765,8097,7910,7839
2014,6520,6668,6229,5845,5525,4939,5037,5104,5004,4853
2015,8698,8773,8399,7447,6760,6004,6186,5881,5845,5908
2016,11866,11831,10900,9377,8401,7918,7584,7591,7455,7280
2017,8846,9103,8402,7578,6785,6132,5828,5888,5842,5391
2018,6214,6395,5964,5599,5218,5126,5058,5025,4911,4963
2019,7882,7730,7524,6862,6303,6062,6089,6055,6213,6407
2020,17724,18224,16793,15456,14319,13512,13489,13397,13679,13676
