year,A1,B1,C1,C2,D1,D2,E1,E2
2007,30597,2342,35019,186,7108,359,6628,757
2008,32742,2644,36879,231,7569,445,7198,944
2009,41036,3178,50061,256,10105,512,9617,1229
2010,32535,3005,40384,218,8293,429,7970,1105
2011,31209,2645,42497,231,9266,567,8936,1161
2012,30365,2248,35256,243,7555,469,6973,985
2013,30476,2604,38821,216,8361,463,8072,1154
2014,20401,1740,24650,146,5303,283,4812,736
2015,25328,2266,31059,166,6618,442,6308,921
2016,32539,2437,39388,222,8921,572,8776,1354
2017,26150,1892,30055,159,6601,397,6576,888
2018,18370,1493,24368,132,5622,309,5519,711
2019,21607,1941,29772,167,7556,444,7522,1031
2020,53160,4544,65145,334,15496,820,14470,1858
