year,1,2,3,4,5,6,7,8,9,10
2007,243.0,305.0,285.0,377.0,432.0,470.0,535.0,571.0,633.0,808.0
2008,282.0,355.0,382.0,438.0,460.0,562.0,549.0,647.0,727.0,854.0
2009,350.0,402.0,485.0,612.0,675.0,780.0,769.0,872.0,1020.0,1138.0
2010,292.0,348.0,327.0,461.0,466.0,554.0,614.0,627.0,672.0,855.0
2011,353.0,321.0,332.0,420.0,560.0,565.0,545.0,682.0,648.0,731.0
2012,360.0,308.0,319.0,376.0,419.0,508.0,581.0,584.0,564.0,757.0
2013,354.0,374.0,386.0,468.0,510.0,596.0,635.0,731.0,699.0,795.0
2014,215.0,228.0,250.0,334.0,315.0,382.0,379.0,461.0,461.0,508.0
2015,338.0,402.0,351.0,474.0,511.0,574.0,744.0,705.0,822.0,949.0
2016,248.0,312.0,334.0,435.0,469.0,546.0,607.0,731.0,792.0,969.0
2017,252.0,269.0,319.0,422.0,453.0,501.0,645.0,710.0,756.0,1000.0
2018,221.0,204.0,252.0,278.0,302.0,338.0,374.0,456.0,474.0,569.0
2019,209.0,219.0,205.0,299.0,306.0,402.0,420.0,593.0,628.0,687.0
2020,641.0,634.0,658.0,989.0,932.0,1087.0,1195.0,1357.0,1433.0,1807.0
