year,1,2,3,4,5,6,7,8,9,10
2007,253.0,275.0,308.0,401.0,465.0,540.0,474.0,525.0,611.0,805.0
2008,280.0,384.0,348.0,446.0,541.0,576.0,530.0,611.0,707.0,833.0
2009,357.0,430.0,464.0,630.0,726.0,860.0,751.0,878.0,928.0,1078.0
2010,297.0,333.0,364.0,456.0,517.0,605.0,627.0,592.0,616.0,807.0
2011,355.0,295.0,369.0,453.0,516.0,616.0,595.0,644.0,585.0,729.0
2012,360.0,319.0,303.0,369.0,455.0,549.0,532.0,591.0,563.0,732.0
2013,333.0,369.0,418.0,478.0,549.0,650.0,639.0,688.0,654.0,772.0
2014,208.0,215.0,265.0,286.0,390.0,445.0,376.0,465.0,426.0,457.0
2015,344.0,345.0,427.0,432.0,594.0,675.0,663.0,719.0,689.0,983.0
2016,244.0,311.0,347.0,436.0,537.0,641.0,603.0,712.0,673.0,936.0
2017,249.0,290.0,321.0,398.0,503.0,577.0,634.0,719.0,656.0,978.0
2018,198.0,244.0,228.0,289.0,323.0,374.0,384.0,426.0,443.0,562.0
2019,198.0,218.0,222.0,291.0,385.0,453.0,491.0,499.0,505.0,705.0
2020,559.0,700.0,769.0,886.0,1037.0,1093.0,1289.0,1323.0,1333.0,1742.0
