year,1,2,3,4,5,6,7,8,9,10
2007,425.0,295.0,224.0,280.0,317.0,281.0,309.0,339.0,332.0,393.0
2008,556.0,455.0,312.0,301.0,348.0,337.0,355.0,419.0,383.0,471.0
2009,673.0,518.0,361.0,392.0,482.0,410.0,413.0,508.0,525.0,575.0
2010,518.0,391.0,280.0,263.0,318.0,273.0,312.0,333.0,302.0,431.0
2011,606.0,408.0,271.0,252.0,360.0,308.0,303.0,300.0,341.0,358.0
2012,472.0,379.0,277.0,242.0,295.0,253.0,264.0,297.0,288.0,329.0
2013,574.0,424.0,276.0,286.0,329.0,295.0,302.0,340.0,366.0,439.0
2014,354.0,296.0,188.0,185.0,205.0,229.0,183.0,223.0,235.0,245.0
2015,560.0,389.0,254.0,230.0,272.0,267.0,246.0,329.0,296.0,361.0
2016,703.0,568.0,306.0,290.0,341.0,291.0,310.0,377.0,395.0,423.0
2017,508.0,427.0,226.0,223.0,211.0,239.0,220.0,288.0,277.0,303.0
2018,378.0,239.0,144.0,150.0,185.0,171.0,163.0,193.0,181.0,246.0
2019,575.0,301.0,233.0,233.0,235.0,222.0,256.0,299.0,225.0,331.0
2020,902.0,597.0,442.0,446.0,467.0,476.0,520.0,546.0,504.0,658.0
