year,1,2,3,4,5,6,7,8,9,10
2007,186.0,245.0,298.0,285.0,258.0,306.0,310.0,433.0,398.0,469.0
2008,200.0,281.0,307.0,321.0,345.0,389.0,482.0,496.0,514.0,601.0
2009,268.0,346.0,367.0,416.0,458.0,494.0,573.0,610.0,605.0,719.0
2010,183.0,257.0,216.0,258.0,264.0,395.0,452.0,420.0,443.0,531.0
2011,164.0,227.0,267.0,250.0,301.0,414.0,459.0,465.0,460.0,496.0
2012,186.0,225.0,264.0,265.0,258.0,426.0,356.0,361.0,360.0,391.0
2013,191.0,260.0,292.0,281.0,310.0,467.0,455.0,427.0,439.0,496.0
2014,147.0,172.0,162.0,166.0,218.0,340.0,257.0,281.0,261.0,342.0
2015,184.0,198.0,217.0,273.0,265.0,404.0,380.0,424.0,395.0,466.0
2016,171.0,239.0,279.0,297.0,326.0,498.0,532.0,521.0,521.0,615.0
2017,136.0,178.0,200.0,204.0,227.0,461.0,338.0,331.0,390.0,450.0
2018,94.0,127.0,140.0,176.0,171.0,266.0,282.0,236.0,255.0,301.0
2019,167.0,165.0,207.0,250.0,234.0,332.0,410.0,366.0,362.0,420.0
2020,247.0,363.0,389.0,449.0,475.0,618.0,720.0,731.0,735.0,826.0
