year,1,2,3,4,5,6,7,8,9,10
2007,317.0,314.0,309.0,257.0,322.0,280.0,358.0,343.0,335.0,358.0
2008,323.0,374.0,385.0,320.0,444.0,352.0,448.0,370.0,495.0,425.0
2009,449.0,447.0,451.0,452.0,497.0,489.0,530.0,446.0,573.0,526.0
2010,360.0,312.0,335.0,283.0,337.0,307.0,401.0,330.0,347.0,407.0
2011,306.0,311.0,343.0,278.0,343.0,351.0,441.0,295.0,396.0,442.0
2012,329.0,278.0,318.0,273.0,312.0,268.0,321.0,283.0,323.0,391.0
2013,364.0,319.0,348.0,319.0,340.0,325.0,406.0,378.0,388.0,443.0
2014,240.0,218.0,242.0,192.0,225.0,237.0,254.0,210.0,236.0,292.0
2015,334.0,310.0,279.0,261.0,305.0,333.0,353.0,297.0,354.0,380.0
2016,411.0,336.0,374.0,318.0,339.0,407.0,446.0,350.0,432.0,593.0
2017,330.0,235.0,277.0,220.0,278.0,256.0,325.0,282.0,293.0,426.0
2018,206.0,214.0,215.0,171.0,200.0,203.0,223.0,201.0,210.0,207.0
2019,284.0,235.0,280.0,233.0,298.0,302.0,319.0,296.0,343.0,322.0
2020,601.0,469.0,557.0,432.0,508.0,555.0,561.0,513.0,639.0,722.0
