year,1,2,3,4,5,6,7,8,9,10
2007,12909,14721,15536,16480,17685,18611,19063,18817,19648,21545
2008,14478,16187,17897,17774,18498,19347,19476,19046,20143,20930
2009,17017,18969,21407,22066,23130,24444,24977,24673,25368,26710
2010,13324,15829,17051,18384,19570,20269,20098,19923,20629,23055
2011,14222,16537,18981,19826,21076,22255,21867,22165,22598,24565
2012,15717,16426,18242,19089,20030,20202,20024,19977,20661,22082
2013,14941,16443,17365,19971,20637,21548,21429,21813,22114,24247
2014,11711,14078,16255,17885,18353,19037,18816,18080,17880,19304
2015,12659,15320,17218,19114,19762,21092,20492,19856,19703,22201
2016,12525,15867,18672,21049,21955,23453,23699,22910,22582,24525
2017,9847,12555,14277,15194,16352,16909,17257,17843,17825,19673
2018,10578,13384,14155,15587,16728,18024,18391,17747,18311,19841
2019,9595,12146,13037,14688,16197,17666,17621,17921,18044,20316
2020,16287,23306,25990,28830,30761,31963,32096,33281,33886,38249
