year,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2007,29432,28500,32096,30016,25209,14119,15730
2008,30866,31753,29935,27818,24998,17771,20689
2009,36774,48847,34766,31986,36294,20101,20073
2010,31469,33139,33299,30960,26988,16051,16274
2011,30837,33730,36257,34150,33673,17114,18367
2012,34196,33586,31370,32032,27823,16798,16676
2013,29460,37486,34343,35481,30266,17259,16237
2014,31571,26523,24095,27765,26528,17557,17370
2015,28116,32145,31807,31452,28371,16031,19512
2016,31056,38034,28938,30034,36093,21448,21694
2017,25088,26239,29710,26005,21194,12600,17261
2018,23766,26486,30422,31587,23298,13137,15100
2019,22223,26989,32372,28331,22950,12688,13111
2020,47705,55614,52012,43467,34567,25865,35445
