year,1,2,3,4,5,6,7,8,9,10
2007,9516,10721,11448,12448,13421,14686,15811,16874,19196,25767
2008,10331,11349,12418,12532,14199,14456,15213,16718,19975,26618
2009,12294,13704,15505,16202,17032,18727,19302,21310,24968,32963
2010,9288,10689,12073,12717,13543,14337,16016,17111,20333,27725
2011,10504,12031,13734,14089,16349,16763,17570,19312,22127,28413
2012,10883,12397,12982,13205,14800,15226,16247,17124,19751,25676
2013,10474,12624,13274,14193,15539,16671,17717,18468,21437,26147
2014,8157,9624,10946,12005,12781,13715,15201,15747,18510,24389
2015,8365,10353,11154,12284,13683,14869,16249,17290,20583,27636
2016,8309,10551,12337,13331,15575,16758,19245,20566,24032,33714
2017,6647,8239,9350,10330,11230,12001,13728,14412,16926,24399
2018,7176,9205,10151,11266,12315,13547,14277,15624,16783,23499
2019,6161,7918,8860,9738,11209,11978,13112,14543,16801,22028
2020,10044,13169,15910,18289,19551,22551,24698,26078,30350,42091
