year,1,2,3,4,5,6,7,8,9,10
2007,15516,13998,13341,13007,13905,13563,14271,15592,16717,19978
2008,15158,13573,13639,13494,13954,13893,14870,16315,17542,21371
2009,18907,17721,17054,17066,17338,17613,18001,20317,22210,25780
2010,15151,13987,13459,13294,13956,14173,14537,15964,17914,21397
2011,18063,15572,15674,15333,15842,15590,15823,17213,19351,22431
2012,15460,14567,13819,14274,14838,14682,15490,16292,18105,20764
2013,17992,16368,15567,15556,16013,15447,15931,16434,17976,19260
2014,14367,12572,12093,12677,12930,12695,13212,14611,16141,19777
2015,15130,13135,13282,13088,13726,13745,14624,15744,18116,21876
2016,19666,15423,14926,14562,14821,14968,16284,18301,20769,24698
2017,13142,10834,10925,10818,11154,11021,11926,13408,15650,18384
2018,15120,12286,12385,11934,11921,12293,12768,13394,14728,17014
2019,14108,11252,11094,10800,11096,11129,11576,12474,13385,15434
2020,22646,19965,19105,19128,19978,19823,20818,22951,26329,31988
