year,1,2,3,4,5,6,7,8,9,10
2007,24659,17239,14434,14893,13521,13550,13301,13114,12353,12824
2008,26693,17760,15440,15593,13712,13354,12981,13005,12762,12509
2009,32350,22507,19594,19417,17307,16542,16450,16194,16132,15514
2010,26337,17878,15379,14962,13492,13554,13375,13446,12738,12671
2011,28772,19031,16379,16054,15259,14865,14956,15782,14610,15184
2012,25889,18714,15429,15376,14327,14412,13446,14682,13129,12887
2013,22625,17491,16044,17015,16667,15477,14897,15815,15066,15447
2014,26197,15550,13959,13193,12350,11928,11909,12087,11706,12196
2015,27633,17262,15054,14360,13345,12641,12629,13140,13116,13286
2016,31743,18020,16228,15859,15377,15136,14829,14846,15431,16949
2017,23602,13874,11832,11679,11154,10701,10906,11421,10775,11318
2018,20929,14328,12378,12558,11997,12149,12056,12454,12052,12942
2019,19601,13222,11498,11269,10701,10436,11191,11192,11130,12108
2020,42071,24483,20578,20171,18532,19131,18932,19311,19078,20444
