year,1,2,3,4,5,6,7,8,9,10
2007,21602,20866,15019,13110,13200,12970,12953,13217,13804,13147
2008,24065,22043,15286,12976,12975,12949,13007,13021,13943,13544
2009,29024,27610,20127,16911,16128,16132,16498,15969,17072,16536
2010,23097,22009,16010,13743,13034,13206,13326,12889,13679,12839
2011,26504,21907,16752,15245,14417,14822,15364,15185,15751,14945
2012,24359,21596,15698,14431,13821,13541,13788,13860,13829,13368
2013,20983,20395,16023,15204,15281,15246,15777,16009,16115,15511
2014,22583,19907,13760,12307,11676,12056,12315,12284,12358,11829
2015,24505,22161,14941,13231,12895,13148,12781,13042,13310,12452
2016,26452,24517,16926,14672,14457,15242,15818,16169,15810,14355
2017,20194,18470,12965,11101,10623,10659,10942,11285,10874,10149
2018,18555,17911,13400,12230,11948,11615,12050,12374,12474,11286
2019,16956,16473,12012,10967,10545,10662,11157,11785,11446,10345
2020,37065,30578,21399,19059,18242,18386,18839,19948,20128,19087
