year,1,2,3,4,5,6,7,8,9,10
2007,11133,13228,14473,14745,15374,16228,15992,15772,16065,16878
2008,12233,14048,16198,15679,15416,16336,15797,16110,15981,16011
2009,14352,16377,19450,19667,19536,20782,20457,20459,20378,20549
2010,10994,13548,15044,16037,16117,16876,16000,16031,16350,16835
2011,11887,14453,17532,17879,18010,18566,17974,17928,18217,18446
2012,12483,13891,16248,16784,16691,16911,16165,16232,16543,16343
2013,12186,14129,15842,17486,17160,18037,17571,17880,17659,18594
2014,9623,12026,14909,15658,15368,15354,14675,15077,14242,14143
2015,10346,13176,15541,16770,15965,17257,16035,15898,15524,15954
2016,10389,13944,17628,18874,19189,20309,19113,18818,18241,17913
2017,7972,10707,13065,13642,13729,14070,13264,13977,13440,13396
2018,8618,11632,12729,13890,14504,14773,14410,14148,14593,14546
2019,7661,10188,11164,12691,13311,13416,13596,13317,13584,13420
2020,12338,19209,22279,23592,23749,24246,23968,24131,24509,24710
