year,1,2,3,4,5,6,7,8,9,10
2007,903.0,952.0,1050.0,1336.0,1341.0,1798.0,1474.0,1740.0,1929.0,2365.0
2008,1176.0,1304.0,1182.0,1484.0,1747.0,1867.0,1699.0,1858.0,2188.0,2581.0
2009,1431.0,1705.0,1638.0,1922.0,2347.0,2439.0,2190.0,2476.0,2649.0,3181.0
2010,1373.0,1592.0,1588.0,1949.0,1981.0,2439.0,2445.0,2445.0,2632.0,3652.0
2011,1713.0,1587.0,1644.0,2049.0,2328.0,2409.0,2400.0,2395.0,2749.0,3326.0
2012,2059.0,1558.0,1466.0,1816.0,1884.0,2222.0,2223.0,2454.0,2578.0,3051.0
2013,1666.0,1602.0,1786.0,1992.0,1962.0,2126.0,2225.0,2620.0,2274.0,3105.0
2014,1281.0,1302.0,1525.0,1592.0,1847.0,2077.0,2097.0,2413.0,2218.0,2719.0
2015,1448.0,1558.0,1514.0,1903.0,2166.0,2582.0,2375.0,2870.0,2574.0,3658.0
2016,1296.0,1254.0,1593.0,1603.0,1873.0,2504.0,2240.0,2541.0,2248.0,3960.0
2017,1316.0,1668.0,1612.0,1822.0,1903.0,2260.0,2482.0,2860.0,2887.0,3932.0
2018,1348.0,1491.0,1400.0,1596.0,2060.0,2280.0,2289.0,2350.0,2304.0,2808.0
2019,1158.0,1497.0,1438.0,1845.0,2362.0,2858.0,2959.0,3406.0,3092.0,4288.0
2020,2653.0,3214.0,3730.0,3958.0,4579.0,5368.0,6354.0,6535.0,6676.0,8460.0
