year,1,2,3,4,5,6,7,8,9,10
2007,696.0,637.0,611.0,530.0,636.0,752.0,653.0,854.0,831.0,920.0
2008,723.0,841.0,749.0,635.0,849.0,923.0,881.0,917.0,932.0,1098.0
2009,817.0,1021.0,845.0,825.0,921.0,941.0,1008.0,1247.0,1214.0,1249.0
2010,562.0,732.0,590.0,553.0,698.0,736.0,717.0,859.0,902.0,788.0
2011,536.0,661.0,665.0,618.0,792.0,868.0,837.0,894.0,945.0,1062.0
2012,798.0,772.0,613.0,660.0,663.0,776.0,829.0,808.0,819.0,885.0
2013,624.0,851.0,705.0,698.0,770.0,820.0,980.0,845.0,1055.0,968.0
2014,608.0,573.0,432.0,580.0,666.0,710.0,830.0,747.0,737.0,838.0
2015,579.0,647.0,602.0,590.0,720.0,741.0,895.0,862.0,899.0,847.0
2016,613.0,557.0,702.0,661.0,683.0,895.0,1040.0,934.0,1059.0,1027.0
2017,498.0,514.0,490.0,454.0,555.0,535.0,867.0,667.0,710.0,692.0
2018,503.0,612.0,553.0,456.0,600.0,783.0,902.0,684.0,857.0,857.0
2019,438.0,524.0,453.0,448.0,553.0,546.0,693.0,718.0,765.0,693.0
2020,837.0,884.0,883.0,813.0,894.0,1134.0,1534.0,1092.0,1294.0,1343.0
