year,1,2,3,4,5,6,7,8,9,10
2007,535.0,556.0,526.0,627.0,698.0,697.0,774.0,840.0,882.0,985.0
2008,660.0,742.0,657.0,697.0,750.0,757.0,964.0,1110.0,1017.0,1200.0
2009,749.0,719.0,821.0,941.0,948.0,918.0,1226.0,1289.0,1178.0,1307.0
2010,534.0,480.0,583.0,593.0,629.0,711.0,897.0,897.0,847.0,972.0
2011,460.0,459.0,678.0,654.0,762.0,884.0,898.0,937.0,1013.0,1141.0
2012,584.0,593.0,638.0,741.0,732.0,792.0,801.0,902.0,833.0,1005.0
2013,580.0,591.0,738.0,685.0,783.0,958.0,949.0,1183.0,883.0,970.0
2014,523.0,515.0,512.0,574.0,627.0,733.0,772.0,842.0,816.0,803.0
2015,487.0,498.0,533.0,561.0,748.0,837.0,845.0,984.0,973.0,916.0
2016,528.0,495.0,557.0,646.0,749.0,873.0,870.0,1195.0,1166.0,1093.0
2017,376.0,370.0,419.0,526.0,551.0,565.0,605.0,1017.0,713.0,845.0
2018,404.0,390.0,531.0,560.0,624.0,692.0,789.0,997.0,783.0,1037.0
2019,345.0,429.0,448.0,495.0,495.0,615.0,719.0,824.0,714.0,749.0
2020,608.0,571.0,798.0,863.0,1044.0,1069.0,1116.0,1533.0,1450.0,1659.0
